Time,Temperature,Crime
1,24.08,1605
2,19.040001,1119
3,28.040001,1127
4,30.02,1154
5,35.959999,1251
6,33.080002,1276
7,33.98,1094
8,26.059999,1144
9,23,1167
10,33.98,1221
11,39.02,1211
12,37.040001,1337
13,35.959999,1299
14,35.959999,1103
15,35.060001,1298
16,30.92,1237
17,26.059999,1268
18,30.92,1261
19,26.959999,1204
20,24.08,1238
21,24.98,1091
22,28.940001,1171
23,35.060001,1235
24,28.040001,1092
25,24.98,1173
26,30.92,1288
27,26.059999,1198
28,28.940001,1066
29,42.080002,1154
30,39.919998,1199
31,35.060001,1171
32,32,1291
33,12.02,1224
34,30.02,1169
35,33.98,1140
36,32,1293
37,35.959999,1185
38,35.060001,1233
39,53.060001,1231
40,53.959999,1273
41,19.940001,1071
42,26.959999,1040
43,37.939999,1222
44,37.939999,1231
45,37.040001,1219
46,32,1286
47,30.92,1203
48,19.040001,1062
49,28.040001,1069
50,42.080002,1201
51,35.959999,1243
52,21.02,1216
53,26.959999,1120
54,30.02,1191
55,55.939999,1224
56,55.040001,1152
57,39.919998,1193
58,28.940001,1232
59,28.040001,1212
60,42.080002,1539
61,42.080002,1376
62,48.919998,1310
63,35.060001,1151
64,28.040001,1214
65,33.98,1231
66,44.060001,1353
67,35.060001,1344
68,37.939999,1408
69,50,1260
70,37.939999,1131
71,48.919998,1251
72,42.080002,1274
73,50,1303
74,44.959999,1245
75,33.98,1238
76,37.939999,1081
77,44.060001,1170
78,46.040001,1336
79,48.02,1418
80,51.98,1365
81,55.939999,1364
82,50,1473
83,35.959999,1328
84,24.98,1094
85,33.080002,1204
86,39.02,1397
87,48.919998,1316
88,46.040001,1330
89,51.080002,1337
90,55.939999,1292
91,48.919998,1299
92,60.080002,1310
93,46.040001,1337
94,51.98,1328
95,60.080002,1256
96,62.060001,1373
97,82.940002,1340
98,77,1298
99,59,1323
100,51.080002,1318
101,77,1290
102,66.019997,1449
103,59,1323
104,64.940002,1331
105,53.959999,1212
106,42.080002,1157
107,46.040001,1176
108,55.040001,1319
109,68,1314
110,77,1457
111,82.040001,1353
112,78.080002,1343
113,71.959999,1296
114,60.98,1284
115,60.080002,1285
116,75.919998,1349
117,62.959999,1482
118,64.940002,1290
119,75.019997,1286
120,84.919998,1421
121,82.940002,1493
122,80.959999,1446
123,86,1426
124,60.080002,1517
125,66.019997,1325
126,75.019997,1204
127,66.919998,1373
128,75.919998,1399
129,80.059998,1458
130,80.959999,1314
131,64.040001,1342
132,57.02,1228
133,68,1197
134,66.019997,1277
135,87.980003,1402
136,89.059998,1364
137,84.919998,1396
138,73.040001,1426
139,73.040001,1319
140,77,1262
141,69.980003,1426
142,60.98,1269
143,62.959999,1207
144,60.080002,1305
145,59,1335
146,57.02,1139
147,60.98,1136
148,66.919998,1313
149,62.060001,1398
150,60.080002,1319
151,62.060001,1272
152,64.940002,1589
153,55.939999,1380
154,55.040001,1169
155,55.040001,1345
156,57.919998,1262
157,62.060001,1333
158,68,1312
159,73.940002,1353
160,80.959999,1377
161,82.940002,1394
162,87.080002,1462
163,86,1361
164,91.040001,1409
165,91.040001,1368
166,77,1400
167,86,1360
168,87.080002,1415
169,91.040001,1475
170,84.019997,1517
171,75.919998,1390
172,69.080002,1312
173,69.080002,1359
174,73.040001,1311
175,80.959999,1271
176,84.919998,1363
177,86,1346
178,87.080002,1348
179,86,1365
180,87.080002,1435
181,87.980003,1380
182,78.080002,1554
183,75.019997,1357
184,78.980003,1299
185,87.980003,1399
186,73.040001,1355
187,80.959999,1446
188,86,1427
189,89.059998,1370
190,91.040001,1410
191,93.019997,1475
192,78.080002,1385
193,80.059998,1407
194,78.980003,1499
195,87.080002,1428
196,87.980003,1376
197,86,1495
198,86,1413
199,84.919998,1397
200,87.980003,1384
